PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/8/27,1,1,香西,Left,1,Left,0,0,0,Fastball,BallCalled,137,,
2,2026/8/27,1,2,香西,Left,1,Left,0,1,0,Fastball,InPlay,137,Out,GroundBall
3,2026/8/27,2,1,香西,Left,2,Left,1,0,0,Fastball,BallCalled,137,,
4,2026/8/27,2,2,香西,Left,2,Left,1,1,0,Fastball,StrikeCalled,137,,
5,2026/8/27,2,3,香西,Left,2,Left,1,1,1,Fastball,FoulBallFieldable,138,,
6,2026/8/27,2,4,香西,Left,2,Left,1,1,2,Fastball,BallCalled,137,,
7,2026/8/27,2,5,香西,Left,2,Left,1,2,2,Slider,BallCalled,132,,
8,2026/8/27,2,6,香西,Left,2,Left,1,3,2,Fastball,BallCalled,137,Walk,
9,2026/8/27,3,1,香西,Left,3,Right,1,0,0,Fastball,FoulBallFieldable,136,,
10,2026/8/27,3,2,香西,Left,3,Right,1,0,1,Fastball,BallCalled,137,,
11,2026/8/27,3,3,香西,Left,3,Right,1,1,1,Slider,BallCalled,126,,
12,2026/8/27,3,4,香西,Left,3,Right,1,2,1,Fastball,StrikeCalled,137,,
13,2026/8/27,3,5,香西,Left,3,Right,1,2,2,Fastball,StrikeCalled,137,Strikeout,
14,2026/8/27,4,1,香西,Left,4,Right,2,0,0,Fastball,StrikeCalled,135,,
15,2026/8/27,4,2,香西,Left,4,Right,2,0,1,Fastball,BallCalled,137,,
16,2026/8/27,4,3,香西,Left,4,Right,2,1,1,Fastball,InPlay,137,Out,FlyBall
17,2026/8/27,1,1,香西,Left,5,Left,0,0,0,Slider,FoulBallFieldable,119,,
18,2026/8/27,1,2,香西,Left,5,Left,0,0,1,Slider,StrikeSwinging,124,,
19,2026/8/27,1,3,香西,Left,5,Left,0,0,2,Fastball,StrikeCalled,137,Strikeout,
20,2026/8/27,2,1,香西,Left,6,Left,1,0,0,Fastball,BallCalled,138,,
21,2026/8/27,2,2,香西,Left,6,Left,1,1,0,Slider,BallCalled,130,,
22,2026/8/27,2,3,香西,Left,6,Left,1,2,0,Fastball,InPlay,137,Out,FlyBall
23,2026/8/27,3,1,香西,Left,7,Left,2,0,0,Slider,StrikeCalled,122,,
24,2026/8/27,3,2,香西,Left,7,Left,2,0,1,Fastball,BallCalled,135,,
25,2026/8/27,3,3,香西,Left,7,Left,2,1,1,Slider,FoulBallFieldable,122,,
26,2026/8/27,3,4,香西,Left,7,Left,2,1,2,Fastball,StrikeSwinging,137,Strikeout,
1,2026/8/27,1,1,小松一,Right,8,Right,0,0,0,Fastball,BallCalled,147,,
2,2026/8/27,1,2,小松一,Right,8,Right,0,1,0,Fastball,BallCalled,147,,
3,2026/8/27,1,3,小松一,Right,8,Right,0,2,0,Fastball,StrikeSwinging,147,,
4,2026/8/27,1,4,小松一,Right,8,Right,0,2,1,Fastball,BallCalled,146,,
5,2026/8/27,1,5,小松一,Right,8,Right,0,3,1,Fastball,BallCalled,146,Walk,
6,2026/8/27,2,1,小松一,Right,9,Right,0,0,0,Fastball,StrikeSwinging,144,,
7,2026/8/27,2,2,小松一,Right,9,Right,0,0,1,Fastball,FoulBallFieldable,144,,
8,2026/8/27,2,3,小松一,Right,9,Right,0,0,2,Slider,FoulBallFieldable,134,Strikeout,Bunt
9,2026/8/27,3,1,小松一,Right,1,Left,1,0,0,Fastball,InPlay,143,Double,FlyBall
10,2026/8/27,4,1,小松一,Right,2,Left,1,0,0,Fastball,BallCalled,147,,
11,2026/8/27,4,2,小松一,Right,2,Left,1,1,0,Slider,InPlay,135,Out,GroundBall
12,2026/8/27,5,1,小松一,Right,3,Right,2,0,0,Fastball,BallCalled,146,,
13,2026/8/27,5,2,小松一,Right,3,Right,2,1,0,Slider,BallCalled,134,,
14,2026/8/27,5,3,小松一,Right,3,Right,2,2,0,Slider,BallCalled,136,,
15,2026/8/27,5,4,小松一,Right,3,Right,2,3,0,Fastball,StrikeCalled,147,,
16,2026/8/27,5,5,小松一,Right,3,Right,2,3,1,Slider,StrikeSwinging,135,,
17,2026/8/27,5,6,小松一,Right,3,Right,2,3,2,Slider,InPlay,138,Out,GroundBall
1,2026/8/27,1,1,越井,Right,4,Right,0,0,0,Fastball,FoulBallFieldable,145,,
2,2026/8/27,1,2,越井,Right,4,Right,0,0,1,Fastball,BallCalled,145,,
3,2026/8/27,1,3,越井,Right,4,Right,0,1,1,Fastball,FoulBallFieldable,145,,
4,2026/8/27,1,4,越井,Right,4,Right,0,1,2,Fastball,BallCalled,147,,
5,2026/8/27,1,5,越井,Right,4,Right,0,2,2,Slider,FoulBallFieldable,128,,
6,2026/8/27,1,6,越井,Right,4,Right,0,2,2,Fastball,InPlay,148,Out,GroundBall
7,2026/8/27,2,1,越井,Right,5,Left,1,0,0,Fastball,BallCalled,147,,
8,2026/8/27,2,2,越井,Right,5,Left,1,1,0,Fastball,StrikeCalled,147,,
9,2026/8/27,2,3,越井,Right,5,Left,1,1,1,Fastball,StrikeSwinging,147,,
10,2026/8/27,2,4,越井,Right,5,Left,1,1,2,Fastball,FoulBallFieldable,147,,
11,2026/8/27,2,5,越井,Right,5,Left,1,1,2,Fastball,StrikeSwinging,147,Strikeout,
