PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/8/30,1,1,森山,Right,山本,Left,0,0,0,Fastball,FoulBallFieldable,139,,
2,2026/8/30,1,2,森山,Right,山本,Left,0,0,1,Curveball,BallCalled,104,,
3,2026/8/30,1,3,森山,Right,山本,Left,0,1,1,Fastball,BallCalled,139,,
4,2026/8/30,1,4,森山,Right,山本,Left,0,2,1,Cutter,StrikeCalled,131,,
5,2026/8/30,1,5,森山,Right,山本,Left,0,2,2,Cutter,BallCalled,132,,
6,2026/8/30,1,6,森山,Right,山本,Left,0,3,2,Fastball,StrikeSwinging,138,Strikeout,
7,2026/8/30,2,1,森山,Right,渡邊康,Right,1,0,0,Fastball,StrikeCalled,135,,
8,2026/8/30,2,2,森山,Right,渡邊康,Right,1,0,1,Fastball,FoulBallFieldable,140,,
9,2026/8/30,2,3,森山,Right,渡邊康,Right,1,0,2,Splitter,StrikeSwinging,125,Strikeout,
10,2026/8/30,3,1,森山,Right,石松,Left,2,0,0,Curveball,StrikeCalled,105,,
11,2026/8/30,3,2,森山,Right,石松,Left,2,0,1,Cutter,BallCalled,133,,
12,2026/8/30,3,3,森山,Right,石松,Left,2,1,1,Fastball,BallCalled,139,,
13,2026/8/30,3,4,森山,Right,石松,Left,2,2,1,Fastball,BallCalled,139,,
14,2026/8/30,3,5,森山,Right,石松,Left,2,3,1,Fastball,FoulBallFieldable,137,,
15,2026/8/30,3,6,森山,Right,石松,Left,2,3,2,Fastball,InPlay,139,Error,GroundBall
16,2026/8/30,4,1,森山,Right,小松騎,Right,2,0,0,Cutter,StrikeCalled,130,,
17,2026/8/30,4,2,森山,Right,小松騎,Right,2,0,1,Cutter,BallCalled,127,,
18,2026/8/30,1,3,森山,Right,小松騎,Right,0,0,0,Fastball,StrikeCalled,140,,
19,2026/8/30,1,4,森山,Right,小松騎,Right,0,0,1,Fastball,FoulBallFieldable,136,,
20,2026/8/30,1,5,森山,Right,小松騎,Right,0,0,2,Fastball,BallCalled,137,,
21,2026/8/30,1,6,森山,Right,小松騎,Right,0,1,2,Cutter,BallCalled,127,,
22,2026/8/30,1,7,森山,Right,小松騎,Right,0,2,2,Fastball,StrikeCalled,136,Strikeout,
23,2026/8/30,2,1,森山,Right,大平,Right,1,0,0,Cutter,FoulBallFieldable,131,,
24,2026/8/30,2,2,森山,Right,大平,Right,1,0,1,Cutter,BallCalled,129,,
25,2026/8/30,2,3,森山,Right,大平,Right,1,1,1,Fastball,StrikeCalled,140,,
26,2026/8/30,2,4,森山,Right,大平,Right,1,1,2,Curveball,FoulBallFieldable,100,,
27,2026/8/30,2,5,森山,Right,大平,Right,1,1,2,Fastball,FoulBallFieldable,141,,
28,2026/8/30,2,6,森山,Right,大平,Right,1,1,2,Cutter,BallCalled,131,,
29,2026/8/30,2,7,森山,Right,大平,Right,1,2,2,Cutter,BallCalled,131,,
30,2026/8/30,2,8,森山,Right,大平,Right,1,3,2,Fastball,InPlay,140,Out,GroundBall
31,2026/8/30,3,1,森山,Right,高崎,Right,2,0,0,Fastball,FoulBallFieldable,134,,
32,2026/8/30,3,2,森山,Right,高崎,Right,2,0,1,Curveball,BallCalled,103,,
33,2026/8/30,3,3,森山,Right,高崎,Right,2,1,1,Fastball,BallCalled,135,,
34,2026/8/30,3,4,森山,Right,高崎,Right,2,2,1,Cutter,BallCalled,,,
35,2026/8/30,3,5,森山,Right,高崎,Right,2,3,1,Fastball,BallCalled,133,Walk,
36,2026/8/30,4,1,森山,Right,金子,Right,2,0,0,Fastball,BallCalled,137,,
37,2026/8/30,4,2,森山,Right,金子,Right,2,1,0,Fastball,BallCalled,136,,
38,2026/8/30,4,3,森山,Right,金子,Right,2,2,0,Fastball,StrikeSwinging,136,,
39,2026/8/30,4,4,森山,Right,金子,Right,2,2,1,Fastball,FoulBallFieldable,137,,
40,2026/8/30,4,5,森山,Right,金子,Right,2,2,2,Cutter,BallCalled,128,,
41,2026/8/30,4,6,森山,Right,金子,Right,2,3,2,Fastball,BallCalled,136,Walk,
42,2026/8/30,5,1,森山,Right,新井,Left,2,0,0,Fastball,InPlay,135,Out,FlyBall
43,2026/8/30,1,1,森山,Right,津田,Left,0,0,0,Cutter,BallCalled,130,,
44,2026/8/30,1,2,森山,Right,津田,Left,0,1,0,Fastball,BallCalled,137,,
45,2026/8/30,1,3,森山,Right,津田,Left,0,2,0,Fastball,FoulBallFieldable,137,,
46,2026/8/30,1,4,森山,Right,津田,Left,0,2,1,Cutter,InPlay,130,Out,GroundBall
47,2026/8/30,2,1,森山,Right,奥山,Right,1,0,0,Curveball,BallCalled,106,,
48,2026/8/30,2,2,森山,Right,奥山,Right,1,1,0,Fastball,StrikeSwinging,137,,
49,2026/8/30,2,3,森山,Right,奥山,Right,1,1,1,Fastball,BallCalled,135,,
50,2026/8/30,2,4,森山,Right,奥山,Right,1,2,1,Fastball,InPlay,137,Out,GroundBall
51,2026/8/30,3,1,森山,Right,大野,Left,2,0,0,Cutter,BallCalled,130,,
52,2026/8/30,3,2,森山,Right,大野,Left,2,1,0,Cutter,StrikeSwinging,129,,
53,2026/8/30,3,3,森山,Right,大野,Left,2,1,1,Cutter,FoulBallFieldable,129,,
54,2026/8/30,3,4,森山,Right,大野,Left,2,1,2,Splitter,BallCalled,125,,
55,2026/8/30,3,5,森山,Right,大野,Left,2,2,2,Fastball,FoulBallFieldable,138,,
56,2026/8/30,3,6,森山,Right,大野,Left,2,2,2,Fastball,BallCalled,137,,
57,2026/8/30,3,7,森山,Right,大野,Left,2,3,2,Fastball,InPlay,136,Single,GroundBall
58,2026/8/30,4,1,森山,Right,高崎,Right,2,0,0,Fastball,InPlay,130,Out,FlyBall
59,2026/8/30,1,1,森山,Right,金子,Right,0,0,0,Cutter,BallCalled,128,,
60,2026/8/30,1,2,森山,Right,金子,Right,0,1,0,Fastball,BallCalled,130,,
61,2026/8/30,1,3,森山,Right,金子,Right,0,2,0,Fastball,StrikeCalled,135,,
62,2026/8/30,1,4,森山,Right,金子,Right,0,2,1,Fastball,FoulBallFieldable,133,,
63,2026/8/30,1,5,森山,Right,金子,Right,0,2,2,Fastball,BallCalled,135,,
64,2026/8/30,1,6,森山,Right,金子,Right,0,3,2,Fastball,InPlay,132,Out,FlyBall
1,2026/8/30,1,1,藪下,Left,山本,Left,0,0,0,Fastball,StrikeCalled,129,,
2,2026/8/30,1,2,藪下,Left,山本,Left,0,0,1,ChangeUp,BallCalled,101,,
3,2026/8/30,1,3,藪下,Left,山本,Left,0,1,1,Fastball,FoulBallFieldable,130,,
4,2026/8/30,1,4,藪下,Left,山本,Left,0,1,2,Fastball,FoulBallFieldable,132,,
5,2026/8/30,1,5,藪下,Left,山本,Left,0,1,2,Cutter,BallCalled,107,,
6,2026/8/30,1,6,藪下,Left,山本,Left,0,2,2,Cutter,BallCalled,115,,
7,2026/8/30,1,7,藪下,Left,山本,Left,0,3,2,Cutter,BallCalled,118,Walk,
8,2026/8/30,2,1,藪下,Left,渡邊康,Right,0,0,0,Fastball,FoulBallFieldable,130,,
9,2026/8/30,2,2,藪下,Left,渡邊康,Right,0,0,1,Fastball,InPlay,134,Sacrifice,Bunt
10,2026/8/30,3,1,藪下,Left,石松,Left,1,0,0,Cutter,BallCalled,117,,
11,2026/8/30,3,2,藪下,Left,石松,Left,1,1,0,Cutter,InPlay,115,Out,GroundBall
12,2026/8/30,4,1,藪下,Left,小松騎,Right,2,0,0,Cutter,StrikeCalled,121,,
13,2026/8/30,4,2,藪下,Left,小松騎,Right,2,0,1,Cutter,BallCalled,120,,
14,2026/8/30,4,3,藪下,Left,小松騎,Right,2,1,1,Fastball,BallCalled,135,,
15,2026/8/30,4,4,藪下,Left,小松騎,Right,2,2,1,Curveball,StrikeCalled,116,,
16,2026/8/30,4,5,藪下,Left,小松騎,Right,2,2,2,Fastball,FoulBallFieldable,137,,
17,2026/8/30,4,6,藪下,Left,小松騎,Right,2,2,2,Curveball,InPlay,122,Out,GroundBall
18,2026/8/30,1,1,藪下,Left,大平,Right,0,0,0,Fastball,StrikeCalled,136,,
19,2026/8/30,1,2,藪下,Left,大平,Right,0,0,1,Cutter,StrikeSwinging,120,,
20,2026/8/30,1,3,藪下,Left,大平,Right,0,0,2,ChangeUp,BallCalled,114,,
21,2026/8/30,1,4,藪下,Left,大平,Right,0,1,2,Fastball,BallCalled,,,
22,2026/8/30,1,5,藪下,Left,大平,Right,0,2,2,Fastball,InPlay,136,Double,FlyBall
23,2026/8/30,2,1,藪下,Left,高崎,Right,0,0,0,Fastball,StrikeCalled,131,,
24,2026/8/30,2,2,藪下,Left,高崎,Right,0,0,1,Cutter,InPlay,,Single,GroundBall
25,2026/8/30,3,1,藪下,Left,金子,Right,0,0,0,Fastball,BallCalled,134,,
26,2026/8/30,3,2,藪下,Left,金子,Right,0,1,0,ChangeUp,InPlay,,Single,FlyBall
27,2026/8/30,4,1,藪下,Left,新井,Left,0,0,0,Fastball,FoulBallFieldable,131,,
28,2026/8/30,4,2,藪下,Left,新井,Left,0,0,1,Fastball,BallCalled,,,
29,2026/8/30,4,3,藪下,Left,新井,Left,0,1,1,Fastball,FoulBallFieldable,131,,
30,2026/8/30,4,4,藪下,Left,新井,Left,0,1,2,Fastball,FoulBallFieldable,131,Strikeout,Bunt
31,2026/8/30,5,1,藪下,Left,津田,Left,1,0,0,Fastball,StrikeCalled,130,,
32,2026/8/30,5,2,藪下,Left,津田,Left,1,0,1,Cutter,BallCalled,120,,
33,2026/8/30,5,3,藪下,Left,津田,Left,1,1,1,Fastball,BallCalled,,,
34,2026/8/30,5,4,藪下,Left,津田,Left,1,2,1,Fastball,InPlay,132,Out,GroundBall
35,2026/8/30,6,1,藪下,Left,井出,Left,0,0,0,Fastball,InPlay,133,Out,FlyBall
36,2026/8/30,7,1,藪下,Left,山本,Left,1,0,0,Curveball,BallCalled,105,,
37,2026/8/30,7,2,藪下,Left,山本,Left,1,1,0,Cutter,BallCalled,116,,
38,2026/8/30,7,3,藪下,Left,山本,Left,1,2,0,Curveball,BallCalled,,,
39,2026/8/30,7,4,藪下,Left,山本,Left,1,3,0,Cutter,StrikeSwinging,115,,
40,2026/8/30,7,5,藪下,Left,山本,Left,1,3,1,Fastball,InPlay,,Single,GroundBall
41,2026/8/30,8,1,藪下,Left,渡邊康,Right,1,0,0,Fastball,StrikeCalled,,,
42,2026/8/30,8,2,藪下,Left,渡邊康,Right,1,0,1,Fastball,BallCalled,132,,
43,2026/8/30,8,3,藪下,Left,渡邊康,Right,1,1,1,Curveball,BallCalled,117,,
44,2026/8/30,8,4,藪下,Left,渡邊康,Right,1,2,1,ChangeUp,InPlay,129,Single,GroundBall
1,2026/8/30,1,1,鈴木心,Right,吉田,Left,0,0,0,Fastball,BallCalled,132,,
2,2026/8/30,1,2,鈴木心,Right,吉田,Left,0,1,0,Fastball,StrikeCalled,131,,
3,2026/8/30,1,3,鈴木心,Right,吉田,Left,0,1,1,Fastball,InPlay,133,Out,GroundBall
4,2026/8/30,2,1,鈴木心,Right,箭原,Left,1,0,0,Fastball,BallCalled,134,,
5,2026/8/30,2,2,鈴木心,Right,箭原,Left,1,1,0,Fastball,InPlay,128,Single,LineDrive
6,2026/8/30,3,1,鈴木心,Right,横井,Right,1,0,0,Fastball,BallCalled,127,,
7,2026/8/30,3,2,鈴木心,Right,横井,Right,1,1,0,Fastball,StrikeCalled,130,,
8,2026/8/30,3,3,鈴木心,Right,横井,Right,1,1,1,Slider,BallCalled,113,,
9,2026/8/30,3,4,鈴木心,Right,横井,Right,1,2,1,Fastball,StrikeSwinging,132,,
10,2026/8/30,3,5,鈴木心,Right,横井,Right,1,2,2,Fastball,BallCalled,131,,
11,2026/8/30,3,6,鈴木心,Right,横井,Right,1,3,2,Fastball,BallCalled,126,Walk,
12,2026/8/30,4,1,鈴木心,Right,茨木,Left,1,0,0,Fastball,StrikeCalled,131,,
13,2026/8/30,4,2,鈴木心,Right,茨木,Left,1,0,1,Fastball,BallCalled,133,,
14,2026/8/30,4,3,鈴木心,Right,茨木,Left,1,1,1,ChangeUp,BallCalled,124,,
15,2026/8/30,4,4,鈴木心,Right,茨木,Left,1,2,1,Fastball,InPlay,131,Out,FlyBall
16,2026/8/30,5,1,鈴木心,Right,舟橋,Right,2,0,0,Fastball,InPlay,127,Single,FlyBall
17,2026/8/30,6,1,鈴木心,Right,西谷,Left,2,0,0,Fastball,StrikeCalled,132,,
18,2026/8/30,6,2,鈴木心,Right,西谷,Left,2,0,1,Curveball,BallCalled,104,,
19,2026/8/30,6,3,鈴木心,Right,西谷,Left,2,1,1,Curveball,StrikeSwinging,102,,
20,2026/8/30,6,4,鈴木心,Right,西谷,Left,2,1,2,ChangeUp,FoulBallFieldable,,,
21,2026/8/30,6,5,鈴木心,Right,西谷,Left,2,1,2,Fastball,BallCalled,131,,
22,2026/8/30,6,6,鈴木心,Right,西谷,Left,2,2,2,Fastball,StrikeCalled,126,Strikeout,
23,2026/8/30,1,1,鈴木心,Right,荘川,Left,0,0,0,Slider,BallCalled,,,
24,2026/8/30,1,2,鈴木心,Right,荘川,Left,0,1,0,Fastball,InPlay,132,Out,GroundBall
25,2026/8/30,2,1,鈴木心,Right,島田,Left,1,0,0,Fastball,BallCalled,132,,
26,2026/8/30,2,2,鈴木心,Right,島田,Left,1,1,0,Fastball,InPlay,123,Single,FlyBall
27,2026/8/30,3,1,鈴木心,Right,野田,Left,1,0,0,Fastball,BallCalled,,,
28,2026/8/30,3,2,鈴木心,Right,野田,Left,1,1,0,Fastball,FoulBallFieldable,132,,
29,2026/8/30,3,3,鈴木心,Right,野田,Left,1,1,1,Fastball,BallCalled,129,,
30,2026/8/30,3,4,鈴木心,Right,野田,Left,1,2,1,Fastball,StrikeCalled,130,,
31,2026/8/30,3,5,鈴木心,Right,野田,Left,1,2,2,ChangeUp,BallCalled,111,,
32,2026/8/30,3,6,鈴木心,Right,野田,Left,1,3,2,Fastball,BallCalled,129,Walk,
33,2026/8/30,4,1,鈴木心,Right,村野,Left,1,0,0,ChangeUp,BallCalled,117,,
34,2026/8/30,4,2,鈴木心,Right,村野,Left,1,1,0,Fastball,FoulBallFieldable,130,,
35,2026/8/30,4,3,鈴木心,Right,村野,Left,1,1,1,Fastball,FoulBallFieldable,127,,
36,2026/8/30,4,4,鈴木心,Right,村野,Left,1,1,2,Fastball,StrikeSwinging,130,Strikeout,
37,2026/8/30,5,1,鈴木心,Right,川渕,Left,2,0,0,Fastball,InPlay,128,Out,FlyBall
38,2026/8/30,1,1,鈴木心,Right,横井,Right,0,0,0,Curveball,BallCalled,,,
39,2026/8/30,1,2,鈴木心,Right,横井,Right,0,1,0,Fastball,InPlay,130,Out,FlyBall
40,2026/8/30,2,1,鈴木心,Right,野田,Left,1,0,0,Fastball,StrikeCalled,133,,
41,2026/8/30,2,2,鈴木心,Right,野田,Left,1,0,1,Fastball,FoulBallFieldable,132,,
42,2026/8/30,2,3,鈴木心,Right,野田,Left,1,0,2,Fastball,BallCalled,133,,
43,2026/8/30,2,4,鈴木心,Right,野田,Left,1,1,2,ChangeUp,BallCalled,118,,
44,2026/8/30,2,5,鈴木心,Right,野田,Left,1,2,2,Fastball,InPlay,133,Single,LineDrive
1,2026/8/30,1,1,岩﨑龍,Left,髙橋隆,Left,0,0,0,Cutter,BallCalled,124,,
2,2026/8/30,1,2,岩﨑龍,Left,髙橋隆,Left,0,1,0,Cutter,InPlay,,Out,FlyBall
3,2026/8/30,2,1,岩﨑龍,Left,今野,Right,1,0,0,Cutter,StrikeCalled,122,,
4,2026/8/30,2,2,岩﨑龍,Left,今野,Right,1,0,1,ChangeUp,BallCalled,123,,
5,2026/8/30,2,3,岩﨑龍,Left,今野,Right,1,1,1,Fastball,BallCalled,129,,
6,2026/8/30,2,4,岩﨑龍,Left,今野,Right,1,2,1,Fastball,BallCalled,124,,
7,2026/8/30,2,5,岩﨑龍,Left,今野,Right,1,3,1,Fastball,FoulBallFieldable,126,,
8,2026/8/30,2,6,岩﨑龍,Left,今野,Right,1,3,2,Cutter,InPlay,,Out,GroundBall
