Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
2026/8/30,1,1,宮城,Left,1,Right,0,0,0,Fastball,StrikeSwinging,138,,
2026/8/30,1,2,宮城,Left,1,Right,0,0,1,Fastball,FoulBallFieldable,140,,
2026/8/30,1,3,宮城,Left,1,Right,0,0,2,Fastball,FoulBallFieldable,144,Strikeout,
2026/8/30,2,1,宮城,Left,2,Right,1,0,0,Fastball,InPlay,140,Out,Popup
2026/8/30,3,1,宮城,Left,3,Right,2,0,0,Splitter,BallCalled,132,,
2026/8/30,3,2,宮城,Left,3,Right,2,1,0,Splitter,FoulBallFieldable,130,,
2026/8/30,3,3,宮城,Left,3,Right,2,1,1,Fastball,BallCalled,139,,
2026/8/30,3,4,宮城,Left,3,Right,2,2,1,Fastball,BallCalled,144,,
2026/8/30,3,5,宮城,Left,3,Right,2,3,1,Fastball,FoulBallFieldable,137,,
2026/8/30,3,6,宮城,Left,3,Right,2,3,2,Splitter,StrikeSwinging,128,Out,
2026/8/30,1,1,宮城,Left,4,Right,0,0,0,Fastball,StrikeSwinging,138,,
2026/8/30,1,2,宮城,Left,4,Right,0,0,1,Fastball,BallCalled,143,,
2026/8/30,1,3,宮城,Left,4,Right,0,1,1,Fastball,BallCalled,140,,
2026/8/30,1,4,宮城,Left,4,Right,0,2,1,Fastball,InPlay,137,Out,GroundBall
2026/8/30,2,1,宮城,Left,5,Right,1,0,0,Cutter,StrikeCalled,129,,
2026/8/30,2,2,宮城,Left,5,Right,1,0,1,Slider,BallCalled,109,,
2026/8/30,2,3,宮城,Left,5,Right,1,1,1,Splitter,BallCalled,130,,
2026/8/30,2,4,宮城,Left,5,Right,1,2,1,Cutter,BallCalled,128,,
2026/8/30,2,5,宮城,Left,5,Right,1,3,1,Fastball,StrikeCalled,138,,
2026/8/30,2,6,宮城,Left,5,Right,1,3,2,Fastball,StrikeCalled,141,,
2026/8/30,2,7,宮城,Left,5,Right,1,3,2,Fastball,InPlay,143,Out,GroundBall
2026/8/30,3,1,宮城,Left,6,Left,2,0,0,Fastball,StrikeCalled,141,,
2026/8/30,3,2,宮城,Left,6,Left,2,0,1,Cutter,InPlay,131,Single,LineDrive
2026/8/30,4,1,宮城,Left,7,Right,2,0,0,Splitter,BallCalled,130,,
2026/8/30,4,2,宮城,Left,7,Right,2,1,0,Fastball,StrikeSwinging,140,,
2026/8/30,4,3,宮城,Left,7,Right,2,1,1,Fastball,InPlay,138,Out,FlyBall
2026/8/30,1,1,安田,Right,8,Right,0,0,0,Fastball,StrikeSwinging,142,,
2026/8/30,1,2,安田,Right,8,Right,0,0,1,Fastball,FoulBallFieldable,142,,
2026/8/30,1,3,安田,Right,8,Right,0,0,2,Fastball,FoulBallFieldable,141,,
2026/8/30,1,4,安田,Right,8,Right,0,0,2,TwoSeamFastball,BallCalled,127,,
2026/8/30,1,5,安田,Right,8,Right,0,1,2,TwoSeamFastball,InPlay,126,Single,LineDrive
2026/8/30,2,1,安田,Right,9,Left,0,0,0,Fastball,BallCalled,139,,
2026/8/30,2,2,安田,Right,9,Left,0,1,0,Fastball,BallCalled,135,,
2026/8/30,2,3,安田,Right,9,Left,0,2,0,ChangeUp,StrikeCalled,119,,
2026/8/30,2,4,安田,Right,9,Left,0,2,1,ChangeUp,StrikeSwinging,121,,
